Transaction_ID,Customer_Name,Customer_ID,UPI_ID,Bank_Name,Transaction_Amount,Transaction_Date,Transaction_Time,Merchant_Name,Merchant_UPI_ID,Location_City,Location_State,Device_ID,IP_Address,Transaction_Type,Channel,Is_Fraudulent,Fraud_Type,Risk_Score,Detection_Flag
TXN00001,Emir Kalla,CUST0001,bhatadvik@upi,Canara Bank,12493.53,4/21/2025,18:04:46,Roy LLC,Inc@upi,Bettiah,Tamil Nadu,865cd872-9909-4886-8a6f-eee1df7c1e2a,207.71.109.189,Merchant Payment,API,1,Fake QR Code,83,Flagged
TXN00002,Vedika Bali,CUST0002,karihridaan@upi,PNB,40960.3,2/12/2025,23:59:33,"Bera, Bail and Khalsa",Ltd@upi,Dhanbad,Arunachal Pradesh,9b3eb6a9-7559-4198-b4b2-87387811566e,111.200.171.124,Recharge,API,0,None,30,Clear
TXN00003,Dhruv Wason,CUST0003,pdesai@upi,ICICI,13753.57,8/4/2025,10:38:16,"Sodhi, Goda and Bhardwaj",PLC@upi,Guntakal,Gujarat,a323c5da-5dcb-4468-b7e6-e37b8fdfccd1,155.58.31.225,Refund,Web,0,None,9,Clear
TXN00004,Shayak Maharaj,CUST0004,arnavsodhi@upi,SBI,4032.78,3/26/2025,2:03:34,"Bawa, Andra and Tripathi",Inc@upi,Berhampur,Maharashtra,3ea367a0-b59b-4926-bc45-05600073f016,172.35.88.166,Refund,Web,0,None,67,Clear
TXN00005,Saanvi Hans,CUST0005,vaibhavgokhale@upi,ICICI,36368.71,7/21/2025,18:28:50,Khanna Group,Inc@upi,Tenali,Punjab,2fb69195-eaf2-4182-af35-9463b839c383,212.186.212.17,Bill Payment,Web,0,None,50,Clear
TXN00006,Dishani Khosla,CUST0006,tiya41@upi,Axis Bank,580.43,2/25/2025,16:16:55,Khosla Ltd,Ltd@upi,Jaipur,Haryana,6a4f4a21-3c54-4be0-b345-7a29579fb99e,109.145.253.202,Refund,Web,0,None,46,Clear
TXN00007,Ayesha Madan,CUST0007,divyanshdugar@upi,BOB,22532.61,2/12/2025,0:20:59,Ghose-Gade,LLC@upi,Begusarai,Goa,b5158d45-f3a7-48b3-a001-e75f8c4435e4,217.13.243.246,Merchant Payment,USSD,0,None,61,Clear
TXN00008,Jiya Yogi,CUST0008,qwali@upi,Canara Bank,8224.69,2/18/2025,12:49:54,"Bedi, Mander and Upadhyay",Ltd@upi,Rewa,Sikkim,f2cc4400-bfdf-4501-b1f3-4728e32af2f6,13.245.243.193,Refund,Web,1,Unauthorized Access,81,Flagged
TXN00009,Zaina Kar,CUST0009,jhaveribhavin@upi,HDFC,45594.88,3/25/2025,7:49:43,"Chandra, Rege and Basu",Inc@upi,Imphal,Uttarakhand,1213ec6d-1384-4d3e-a4e8-c1f91222ac5c,73.252.61.77,Peer-to-Peer,QR Code,0,None,13,Clear
TXN00010,Aarna Sekhon,CUST0010,halderuthkarsh@upi,PNB,7452.08,6/21/2025,20:50:29,Banerjee PLC,Group@upi,Maheshtala,Manipur,cd5b3daa-6957-444e-9ee0-169a04cef1f5,222.208.3.144,Bill Payment,Web,0,None,53,Clear
TXN00011,Yashvi Kurian,CUST0011,ichad@upi,ICICI,17514.7,7/26/2025,12:38:55,Handa-Ranganathan,PLC@upi,Satna,Goa,3df3d86e-f2b2-45b5-9c3c-6c5f92cbe4a6,221.142.6.6,Bill Payment,Web,0,None,13,Clear
TXN00012,Reyansh Venkataraman,CUST0012,jainonkar@upi,SBI,47315.75,7/1/2025,16:16:03,"Issac, Bose and Kapur",PLC@upi,Chandrapur,Karnataka,96e1bc67-478a-44bb-bf69-8232b5eebec1,58.204.0.150,Merchant Payment,USSD,0,None,46,Clear
TXN00013,Priyansh Walla,CUST0013,indrajit47@upi,PNB,36962.02,4/30/2025,9:40:06,Balay and Sons,and Sons@upi,Bahraich,Tamil Nadu,11fc0d00-fc26-4ce3-acfd-2ad66c4a4daf,18.225.131.214,Recharge,API,0,None,48,Clear
TXN00014,Shamik Rattan,CUST0014,chowdhuryinaaya@upi,PNB,29939.76,2/24/2025,9:47:34,"Jayaraman, Bal and Tata",Inc@upi,Anand,Jharkhand,2f79dca0-f326-4c90-9ff7-30a8b007562c,31.228.58.50,Refund,Web,0,None,0,Clear
TXN00015,Samaira Anne,CUST0015,diya05@upi,Axis Bank,45985.63,1/17/2025,22:28:16,"Barad, Deshmukh and Mand",Group@upi,Varanasi,Kerala,676801b0-ecd0-474c-9f45-42e5c1e6810d,74.164.160.110,Peer-to-Peer,API,0,None,63,Clear
TXN00016,Advik Roy,CUST0016,yasmin17@upi,PNB,38109.02,3/11/2025,4:07:49,Gaba-Madan,Ltd@upi,Sambalpur,Rajasthan,3ed4ba72-289f-475f-82b1-8cc087143dca,219.166.237.124,Bill Payment,USSD,1,SIM Swap,88,Flagged
TXN00017,Akarsh Bose,CUST0017,balisamaira@upi,PNB,27402.4,5/31/2025,7:17:15,Lata Ltd,Group@upi,Gudivada,West Bengal,2f5e3afe-bbbd-4f0f-84af-469bb532fe0d,209.239.8.250,Bill Payment,Mobile App,0,None,66,Clear
TXN00018,Ahana  Grewal,CUST0018,ivanbajwa@upi,SBI,22870.59,2/9/2025,13:47:12,"Raman, Dyal and Sur",and Sons@upi,Hyderabad,Mizoram,6fbeb5c0-110c-4be6-a966-efeb974e04b4,124.237.175.138,Recharge,Mobile App,0,None,20,Clear
TXN00019,Fateh Sachdev,CUST0019,kvarty@upi,Axis Bank,25490.97,7/1/2025,18:31:49,"Gill, Chander and Kohli",and Sons@upi,Jodhpur,Haryana,5dc597ab-7f14-4593-9dbb-64db429889e8,197.238.141.225,Refund,API,0,None,33,Clear
TXN00020,Baiju Bala,CUST0020,gatik33@upi,PNB,34414.21,7/15/2025,11:29:58,Chanda PLC,and Sons@upi,Alappuzha,Gujarat,36d83a81-56a4-42c7-9c22-abb561f6b571,155.186.8.25,Peer-to-Peer,USSD,0,None,39,Clear
